topic_name,topic_link,topic_views,topic_author,topic_author_link,topic_replies,topic_lp_time,,
Raspberry Pi Digital Spirit Level,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=145073&sid=3d6979502c6c62b8dbe58c54f28e67fe,4,mwilliams03,https://www.raspberrypi.org/forums/memberlist,0,NULL,,
Monitor pH levels,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=144987&sid=3d6979502c6c62b8dbe58c54f28e67fe,123,pilotman2012,https://www.raspberrypi.org/forums/memberlist,3,NULL,,
LinuxCNC,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=33809&sid=3d6979502c6c62b8dbe58c54f28e67fe,189707,kinsa,https://www.raspberrypi.org/forums/memberlist,970,NULL,,
GPS Neo-6M with Raspbian Jessie,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=128045&sid=3d6979502c6c62b8dbe58c54f28e67fe,1798,Jendker,https://www.raspberrypi.org/forums/memberlist,7,NULL,,
Two wire temperature sensor,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=144236&sid=3d6979502c6c62b8dbe58c54f28e67fe,344,Marcepan,https://www.raspberrypi.org/forums/memberlist,3,NULL,,
Improved motion detection for changing ambient lig,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=145027&sid=3d6979502c6c62b8dbe58c54f28e67fe,56,Dan1111,https://www.raspberrypi.org/forums/memberlist,0,NULL,,
"Heartrate monitor, RP3, Sonic Pi",https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=145013&sid=3d6979502c6c62b8dbe58c54f28e67fe,20,kripkus,https://www.raspberrypi.org/forums/memberlist,0,NULL,,
Measure power usage and send mail when low power i,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=144995&sid=3d6979502c6c62b8dbe58c54f28e67fe,13,AntonioM87,https://www.raspberrypi.org/forums/memberlist,0,NULL,,
"Yet other RPi0 drone wonders : GPIO and IMU, TTL",https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=143430&sid=3d6979502c6c62b8dbe58c54f28e67fe,229,Maxorazon,https://www.raspberrypi.org/forums/memberlist,2,NULL,,
"My MRPi1, mini robot.",https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=132106&sid=3d6979502c6c62b8dbe58c54f28e67fe,805,macerobotics,https://www.raspberrypi.org/forums/memberlist,8,NULL,,
Make an Android App to control GPIO pins,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=101330&sid=3d6979502c6c62b8dbe58c54f28e67fe,6366,Gaurav Harchwani,https://www.raspberrypi.org/forums/memberlist,13,NULL,,
Webserver based home automation using raspberry pi,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=144866&sid=3d6979502c6c62b8dbe58c54f28e67fe,135,Hariskhalid,https://www.raspberrypi.org/forums/memberlist,1,NULL,,
Automation of traffic signals,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=144815&sid=3d6979502c6c62b8dbe58c54f28e67fe,160,yashu,https://www.raspberrypi.org/forums/memberlist,2,NULL,,
Running Multiple Led's from few GPIO pins,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=144863&sid=3d6979502c6c62b8dbe58c54f28e67fe,237,KnalexAlex,https://www.raspberrypi.org/forums/memberlist,3,NULL,,
Running Various Programs at once,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=144824&sid=3d6979502c6c62b8dbe58c54f28e67fe,205,KnalexAlex,https://www.raspberrypi.org/forums/memberlist,2,NULL,,
RasPi web scraper & txt notification,https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=143719&sid=3d6979502c6c62b8dbe58c54f28e67fe,311,Andy10,https://www.raspberrypi.org/forums/memberlist,4,NULL,,
