post_author,post_author_link,post_content,post_time,author_postCount,author_joinDate,post_head
#cilusse,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=178624,"You're welcome
Sorry my first post wasn't really clear... I'm French and that kind of questions is hard to explain ^^"," Wed Apr 13, 2016 6:52 am",4,"Tue Feb 23, 2016 12:54 pm","[Solved] Socks Proxy and Wi-Fi repeater"
-rst-,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=40956,"Sorry for the delay... Still problem with this?

Looks to me like supervisor is running there fine. When you tried to run 'service supervisor restart' you did not use 'sudo' which might explain the 'Access denied'. Also the echo to the conf seems to be going to the wrong directory, which might explain the 'Permission denied' or maybe the script 'echo_supervisord_conf' is not executable?

If you use 'sudo' does this really not work:
CODE: SELECT ALL
sudo service supervisor restart
??"," Tue Dec 01, 2015 9:56 am",1315,"Thu Nov 01, 2012 5:12 am","Install Supervisor Problems"
008027,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=46697,"Hi ! guys I bought the pi i've been playing with it I wanted to build a garage door opener .when i try to run the command after installing webiopi
sudo update-rc.d webiopi default it returns an error insscrv: warning: script 'mathkernel' missing LSB tags and overrides
I don't have much knowledge about linux commands please help me solve this thanks !"," Sun Feb 23, 2014 3:58 pm",1,"Tue Dec 18, 2012 10:00 am","My remote garage door opener"
00Luke,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=62314,"Hello,

Thanks so much for this great tutorial and start up script!

I've just run through it all and it's working great when I start ./squeezelite-armv6hf manually, but when I try to get your auto start up script working I'm struggling.

I've installed and edited it as advised, but when I try and run it, it seems to do nothing. If I run ps -A |grep squeeze I get nothing coming back, and /etc/init.d $ sudo ./squeezelite status returns:
[FAIL] squeezelite-armv6hf is not running ... failed!

Any tips or advice? If there's any other information you need please let me know - I'm really knew to all this so still learning what's useful / important and what isn't

Cheers!"," Tue Mar 19, 2013 2:42 pm",1,"Tue Mar 19, 2013 2:36 pm","[Tutorial] Squeezelite up and running on Rasp"
0utc4stDC,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=182677,"Hey Guys, first post. I have a project that I am currently interested in looking to hear feedback for viability. I want to create an intergrated control circuit using a Raspberry Pi 3 in a caravan. I also want to be able to create a very simple and primative android app to control the system as well as show real time data through either wifi or bluetooth. The lighting and appliances will typically run on 12v however fridges microwaves will be 240v when available. I also want to collect data using a digital mass flow meter for gas which come with serial interface, resistance based level indicator for water tanks and voltmeter all to be displayed on the app. I want to wire the system so that the physical switches will still also work, whether the switch becomes inline with the pi relay or a 2 way switch is set up im unsure of yet. I know this is a rather big task and I'm unsure of the expandability of a pi, I was considering in the addition of a microcontroller depending on how many circuits need to be controlled independently. I hope I've explained this in depth enough. I will get to the programming in time however my first question is the physical capabilities feasibility.
Thanks"," Thu Mar 17, 2016 9:10 pm",1,"Thu Mar 17, 2016 8:34 pm","Caravan Lighting and Appliance Control"
0x0000,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=81797,"aborge wrote:
Hey. I have some problems with my temperature sensor. It gets really hot after dome seconds when booting, ans i Think I have wired everything right. My plan is to wire ground(black) from sensor to GND, power(red) to 3.3v (3v3) and data(yellow) to cpio 4(p7). + 4.7 ohm resistor between data and power line. I have checked that the resistor is turned the right way. See pictures.


From one of the book that I have,

First, you need to know where pin 1 is on your DS1820B. Pick the sensor up and youâ€™ll
notice it has two distinct sides. One side is curved and one side is flat with some text on
it. The flat side with the text is the front of the device. When facing the flat side of the
sensor, the pin on the left-hand side is the first. You should check your data sheet as
well, remember them? Your new friends! Go take a look and check the pin out. If you do
manage to insert the DS1820B in the wrong direction, donâ€™t worry it will get really hot but
wonâ€™t blow up. Take it out and let it cool down for some time; keep it still until itâ€™s cool
enough to pick up."," Sat Jan 11, 2014 6:27 am",136,"Tue Aug 27, 2013 1:59 pm","DS18b20 too hot"
1939dodge,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=169277,"I am new here and have been trying to figure out a way to read sensors in the truck and display them through an RCA cable to the AV system in the truck. Unfortunately I do not have an OBD2 port, so there has not been a simple solution yet. I have been searching the net, the forums and see there are many people looking for a solution like what I want.

So does anyone here have a program developed that can read the outputs for sensors and relay that into useful data that can be displayed? Anyone develop a GUI for the display?

What do you use to read the signals from the sensors?

Specifically I am looking for 2 boost gauges, tachometer, Pyrometer (exhaust gas temps), trans temp... Maybe more but those are the main items I want to view.

If you have any advice or information that would be wonderful."," Wed Dec 16, 2015 10:07 pm",1,"Wed Dec 16, 2015 9:39 pm","Displaying truck gauges on a screen"
1kane,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=178955,"thanks for your fast reply.
thats very sad, because the rest is working very well.
so my resolution will be to set the size of interlaced material at 288p, than it looks proper. and if the stream is progessiv than i gonna set higher resolution.

and thank you again for your transcoding script! its the onliest raspberry hardwareVideo transcoder (that streams to network) i got working!"," Tue Mar 01, 2016 5:42 am",5,"Fri Feb 26, 2016 1:34 am","Real Time Transcoding of DVB TV Streams"
2011dkang1,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=88275,"Hey Friso, can you help me set up what you did? I am working on a school project and a set up like this is exactly what we are looking for. Thanks!"," Fri Oct 25, 2013 3:18 pm",1,"Fri Oct 25, 2013 3:09 pm","WiFi and Bluetooth device detection"
2tirefire,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=147380,"ondrej1024 wrote:
Hi,
you make this look much more complicated than it is
And it looks like you are confusing some things here. So I need to start by asking some essential questions. The first is: what relay card do you have and what cards support do you want to be built into the crelay program?

Ondrej


It is a sainsmart USB 8 CH relay card. I would like to be able to turn on and off individual channels or all on or all off. After reading the very important read me file I was able to get to the end of building but it stops and says that cannot find the library. I can copy and paste the error in a few hours.

I asked some questions in another thread that I started because I don't want to bother you with problems I'm having due to lack of programming experience or failure to rtfm, but any help is greatly appreciated.

Thanks,
2tirefire"," Mon May 18, 2015 10:23 pm",12,"Tue May 12, 2015 12:45 pm","Developing Linux SW for relay cards"
"3 Ip Yrrebpsar",https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=187709,"Hey Guys,

At the moment we're working on an interactive led screen wall for the entrance hall of our new studio. I've setup the following frame with 17meters of WS2812B addressable led strips.We're using the Neopixel library for rasp (https://github.com/jgarff/rpi_ws281x and it works like a charm with the rasp 3. Anyway they next step is to control these ledstrips so they work as one big display. I had a look on the internet and a lot of people advices to work with the FadeCandy from Adafruits but I want to know if there are other solutions using only Python and write software to control the ledstrips. The purpose is to use the rasp's camera module like this guy did http://andydoro.com/ledmirror/images/stills/ledmirror01.jpg so when someone is entering the room, his reflection appears on the wall...

Any information / tips / other solutions about how to achieve what I described above are welcome.

Thanks"," Wed Apr 20, 2016 3:00 am",1,"Wed Apr 20, 2016 2:28 am","Raspberry Pi 3 Interactive Led Strip Wall"
3030,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=84115,"Have you started building your cab control?

I am also considering building a Raspberry Pi-based cab control,
mainly in order to get a more ""physical"" and more prototype-like
way of interacting with the locos.

(Somehow, it doesn't really feel right to operate a 1930s electric
engine using a smartphone touch screen: http://www.samlingsportalen.se/all/CgiT ... &Recnr=146)"," Sun Sep 15, 2013 11:30 pm",1,"Sun Sep 15, 2013 11:16 pm","Roco Z21, touchscreen and the Pi"
3corey2,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=135425,"so i recently made a ismi catcher, but it doesnt work... can this help me out with that? any quotes from the book that would show promise?"," Tue Feb 17, 2015 8:32 am",85,"Sat Feb 14, 2015 7:59 pm","Raspberry Pi for Secret Agents - Second Editi"
3dtech,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=187061,"The Technology of printing physical 3D objects from digital data using vertical axis manufacturing process is called ""additive manufacturing.""

The amount of material, the rotation of the platform and the design of the object is administered in a computer controlled environment.

This technology allows for complex shape, size and dimensions which are not easily or economically available using traditional manufacturing tooling methods. 3D printing service india allows low cost production of highly specific, low volume products or mass markets quicker.

Remove unwanted restrictions to your designs, produce prototypes as one unit or pre-built unit assembly to aid in mass manufacturing."," Fri Apr 15, 2016 4:03 am",1,"Fri Apr 15, 2016 3:59 am","3D Printing"
3rr0r-404,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=9054,"Eric Middleton said:



I'm planning on making some sort of augmented reality system using a couple Raspberry Pi's. I'm thinking about putting a small touch screen and a camera on one and using it to identify and track objects. I might make the other one into a smart quadrocopter that can track objects from the air. Kind of like the Parrot AR drone, but made for serious usage and not gaming.




To be honest if you could add a decent power source/battery pack and a satellite phone to ethernet/USB interface you could have a quadracopter that was remotely controllable from anywhere."," Tue Jan 24, 2012 12:44 pm",1,"Tue Jan 24, 2012 12:37 pm","Re: The projects list. Look here for some ide"
427269616e,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=184426,"So I am a little stuck on how to manage the audio settings on my Pi 2. I have a cheap external sound card that has one input and one output (both 3.5mm) and a usb microphone.

So what I want to be able to do is have the audio input on the sound card pass straight through to the audio output on the sound card. I also need the usb microphone to still be the default for voice recognition (amazon alexa). How can i configure the .asoundrc file to do this?"," Mon Mar 28, 2016 6:49 pm",1,"Mon Mar 28, 2016 6:43 pm",".asoundrc settings with multiple inputs and s"
4Doose,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=183830,"Hello

Being a welder for decades I am stepping out of my area of knowledge and request some guidance.

I have a small homestead and need 2 rooms very cold for produce and meat. I found 2 items that will do exactly what I need.

The CoolBot and the ColdSnap. One is $300 and the other is open source and about $30. I like $30 a lot better.

I could use the ColdSnap without help because its already laid out in great detail but I need the buttons and LED display of the CoolBot and dont have $600 to get it.

So, My goal is to basically mimic or clone the CoolBot.

If you are unfamiliar with either product let me explain real fast what they do.

You take a regular window air conditioning unit and attach it to one of the mentioned devices. They maintain a temperature thats below the factory minimum of 60 deg F.

There are 4 wires involved.
1) Power
2) Heated diode to fool the A/C units built in air temp sensor to think the air temp is hotter than it is.
3) Temp sensor to monitor the cooling fins to shut it off near 32F so they dont ice up.
4) Air temp sensor that tells the headed diode when to turn on and off.

The buttons let you select C or F, set the minimum air temp and turn the power on or off.

The LED lets you see what you are setting and the current air temp.

Its super simple but beyond me. Like I said the ColdSnap does most of this already but you have to reprogram every change and hook it up to see if its right. I need to be able to adjust the settings for the seasons without taking it apart, into the house, and reprogramming.

Also which would be best suited for this project, Arduino or RaspberyPi?

I am not asking for a how to. I am asking for direction so I can teach myself how to do this. I just dont know where to begin.

Any guidance would be lovely.

Thank you,
David"," Thu Mar 24, 2016 9:45 pm",1,"Thu Mar 24, 2016 9:43 pm","Air Conditioning Control Unit - CoolBot and C"
5ft24,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=76435,"rew wrote:
I2C addresses are 7 bits. The eighth bit in the ""addressing byte"" specifies read/write.

This read/write bit is the lowest bit. Now, some people say that the address is ""0xC0"" and that to read you need to send ""0xC1"". They mention the WHOLE byte, not just the top 7 bits representing the address. It also means that converting a write-address to a read address is easy: add one.

Others just mention the 7 bits that compose the address. That would be the ""0x60"" used as the DAC address in the source code. This has the disadvantage that you have to multiply-by-two to get the byte you'll see with the logic analyser on the bus. Do you know by heart that 0x4A * 2 = 0x94? I do. I don't think there are many people like me....

I THINK the code is correct, and that microchip belongs to the ""other camp"" that writes things down differently... But it pays to double check.


Yes, but you still have to send all 8 bits. Thats what the DAC is expecting. Only sending 7 bits means all the data is shifted left by one bit... Affecting everything in the string"," Mon Jul 21, 2014 5:31 pm",3,"Fri Jul 12, 2013 11:16 am","MCP4728 Quad DAC Help"
6677,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=14381,"How this did not turn up when I was searching for how to get doom on the pi will forever be beyond me.


As for hexen not working. Hexen used a slightly updated form of the engine. Chocolate doom aims to be near identical to the original doom engine including original bugs. It doesnt support the extra hexen extensions. You need the raven branch of chocolate doom for that to work: http://www.chocolate-doom.org/wiki/inde ... ven-branch"," Tue Jan 22, 2013 8:58 am",382,"Wed Mar 14, 2012 2:23 pm","Tutorial: How to install Chocolate Doom w/ so"
6by9,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=92334,"I must confess that I had noticed omxplayer seemingly not take any account of the fps option, so it may not function correctly on an H264 elementary stream. At a guess it may be that the container parser fails as there is no container, so the app level can't see where one encoded frame ends and the next starts.
In the absence of timestamps, omxplayer will go as fast as possible.

Your use of pv is not going to give a guaranteed delay. It appears to be designed as a pipe monitoring application, but it just happens to have a buffer inside. Compressed video is generally variable bitrate, so the time taken to fill that buffer will vary.

There have already been some suggestions made on your other thread (https://www.raspberrypi.org/forums/view ... 3&t=143251). Did you try GStreamer, as that has specific components to handle adding delays?
I don't think you're going to get your desired behaviour from any standard ""all-in-one"" apps and funky piping of the data. Perhaps mod raspivid to have lots of encoded output buffers, stick them in a FIFO as they are produced, and then only start pulling data out of the FIFO when you get to 15*30 = 450 frames in the FIFO (you will need to look at the buffer flags to ensure you are counting complete frames and not fragments)."," Thu Apr 21, 2016 3:17 am",2243,"Wed Dec 04, 2013 4:27 am","omxplayer ignores fps and plays as fast as it"
6hearts,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=170347,"I've took a picture of the controller, the leds, display and buttons are visibe.

One possibility would be to glue a bunch of photoresistors to the display on it and read the data through them. possibly through a multiplexor...


FRONT
heat-pump-front2.jpg (61.53 KiB) Viewed 432 times


BACK
heat-pump-back1.jpg (61.76 KiB) Viewed 432 times"," Sun Jan 31, 2016 2:12 pm",10,"Sat Dec 26, 2015 6:25 am","Sensing leds, 7-segment displays..."
8-E,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=166798,"Hello,

after reading the Gertbot manual, I'm not sure what is the IO voltage for the free pins. Is it 3,3V similar to the raspberry pi or can 5V be used as std. TTL signal. If it is in the manual, please give me a hint.

Kind regards
Andreas"," Fri Nov 27, 2015 2:44 pm",1,"Fri Nov 27, 2015 2:29 pm","Gertbot IO Pin Voltage"
8one6,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=124391,"I just fought through this issue myself. Do you happen to be running your script using cron? If so it's important to remember that cron runs its jobs in an environment that's quite different (and much more spare) than the one active when ""sudo""ing from the command line. In particular, I found that I needed to specify full paths for *everything*. In particular:

CODE: SELECT ALL
os.system('/sbin/modprobe w1-gpio')
os.system('/sbin/modprobe w1-therm')


needed the full paths spelled out. Here is my full ""temperature getting"" class, which returns a dictionary of temps in different units:

CODE: SELECT ALL
import os
import glob
import time

class TempReader(object):
    def __init__(self, temp_sensor_pin):
        os.system('/sbin/modprobe w1-gpio')
        os.system('/sbin/modprobe w1-therm')
 
        self.temp_sensor_pin = temp_sensor_pin
        self.base_dir  = '/sys/bus/w1/devices/'
        counter = 0
        incomplete = True
        while counter < 5 and incomplete:
            try:
                self.device_folder = glob.glob(
                    self.base_dir +
                    str(self.temp_sensor_pin) +
                    '*')[0]
                incomplete = False
            except IndexError:
                counter += 1
                time.sleep(10)
        self.device_file = self.device_folder + '/w1_slave'

    def read_temp_raw(self):
        f = open(self.device_file, 'r')
        lines = f.readlines()
        f.close()
        return lines

    def read_temp(self):
        lines = self.read_temp_raw()
        while lines[0].strip()[-3:] != 'YES':
            time.sleep(0.2)
            lines = read_temp_raw()
        equals_pos = lines[1].find('t=')
        if equals_pos != -1:
            temp_string = lines[1][equals_pos+2:]
            temp_c = float(temp_string)/1000.0
            temp_f = (temp_c * 180.0/100.0) + 32.0
        tempdict = {
            'temp_c': temp_c,
            'temp_f': temp_f
        }
        return tempdict"," Fri Oct 31, 2014 9:36 am",1,"Fri Oct 31, 2014 9:32 am","Adding Modprobe w1-gpio / Modprobe w1-therm t"
99wilksjam,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=89921,"Looking at this post viewtopic.php?f=78&t=53460 It looks as though it will work but It might be a little slow. There are other versons for the pi that are modified and can run a little but faster. Source: http://pi.minecraft.net/"," Mon Nov 11, 2013 7:35 am",2,"Mon Nov 11, 2013 7:11 am","PC Minecraft?"
9and3r,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=81583,"Hi.

I really liked this project and kivy. I did not know anything about kivy and I found that is great. Some time ago I made https://github.com/9and3r/mopidy-touchscreen using pygame but I found kivy being much more easier to use.

I am making a new screen to use with mopidy. The plan is to make something similar to mopidy-touchscreen in kivy. I have a basic screen already working:

Preview screenshoot
screenshot.jpg (40.29 KiB) Viewed 4828 times"," Sun Oct 11, 2015 9:57 am",16,"Mon Aug 26, 2013 4:58 am","RPi Information Screen for Official Raspberry"
a-ael,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=166907,"Could you give me a little more information about the AVR microcontroller? Which model/design would be best? As I said, I know nothing about this.

The choice of the microcontroller would depend on features and expansion plans.
Although implementing this on an AVR would probably require more time and effort than you are willing to spend.
You cant have GPS navigation or graphical LCD on an AVR for example.

What would you recommend as far as the LCD display is concerned? It still might be way too early to think of expansion though.

The most simple choice i guess would be a 2x16 character LCD, which ofcourse cant display everything you want at once.
A small TFT could be used if you are willing to create a Graphical User Interface program.

As for the clock, after connecting an I2C RTC, it is a matter of a single command to set the time.

There are multiple tutorials online for all these things, you won't have to reinvent anything."," Mon Nov 30, 2015 5:26 am",7,"Sat Nov 28, 2015 1:41 pm","My first project"
a.texer,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=167580,"Here is my pinout:
MAX 31865 dev board<--> RPi2
1 SS 24 or 18 or 22
2 MOSI 19
3 MISO 21
4 SCLK 23
5 GND 06
6 Vcc 01
7 DRDY nc
8 nc
9 nc
10 nc
11 GND nc
12 Vcc +3.3 nc
The code works fine for me. I have three MAX boards on the same SPI bus on PRi2.
In my case DRDY is not connected, but in general it can be used to sense whether new data is available.
I am in the process of updating the code in order to get rid of the for loops in the write and read procedures.
Will post it here as soon as it is ready.
Also have similar code for Adafruit BMP280 pressure sensor which is actually the forth board on my RPi2 SPI bus."," Mon Feb 08, 2016 11:00 pm",3,"Thu Dec 03, 2015 11:18 am","MAX31865 PT1000 temperature measurement over "
aaronm14,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=90178,"BUMP for this post, I was just wondering the same thing and found this post through a Google search!"," Wed Nov 13, 2013 1:31 pm",1,"Wed Nov 13, 2013 1:28 pm","Automatic Score Keeping for Basketball Game"
Abdulaziz,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=155157,"Hello dzasa,

I used your steps and the rfid reads the tags. It does work perfectly.

Many thanks."," Thu Jul 30, 2015 2:14 am",2,"Wed Jul 29, 2015 6:53 am","Raspberry PI 2 and RC522 Problem reading data"
